,Patient,Frame,Cluster,Pose
83,Patient_1,96,0,Standing
84,Patient_1,97,0,Standing
85,Patient_1,98,0,Standing
86,Patient_1,99,0,Standing
87,Patient_1,100,0,Standing
88,Patient_1,101,0,Standing
89,Patient_1,102,0,Standing
90,Patient_1,104,0,Standing
91,Patient_1,105,0,Standing
92,Patient_1,106,0,Standing
93,Patient_1,107,0,Standing
94,Patient_1,108,0,Standing
95,Patient_1,109,0,Standing
96,Patient_1,110,0,Standing
97,Patient_1,111,0,Standing
98,Patient_1,112,0,Standing
99,Patient_1,113,0,Standing
100,Patient_1,116,0,Standing
101,Patient_1,117,0,Standing
102,Patient_1,118,0,Standing
103,Patient_1,119,0,Standing
104,Patient_1,120,0,Standing
105,Patient_1,121,0,Standing
106,Patient_1,122,0,Standing
107,Patient_1,123,0,Standing
108,Patient_1,124,0,Standing
109,Patient_1,125,0,Standing
110,Patient_1,127,0,Standing
111,Patient_1,128,0,Standing
112,Patient_1,129,0,Standing
113,Patient_1,130,0,Standing
114,Patient_1,131,0,Standing
115,Patient_1,132,0,Standing
116,Patient_1,133,0,Standing
117,Patient_1,134,0,Standing
118,Patient_1,135,0,Standing
119,Patient_1,136,0,Standing
120,Patient_1,138,0,Standing
121,Patient_1,139,0,Standing
122,Patient_1,140,0,Standing
123,Patient_1,141,0,Standing
124,Patient_1,142,0,Standing
125,Patient_1,143,0,Standing
126,Patient_1,144,0,Standing
127,Patient_1,145,0,Standing
128,Patient_1,146,0,Standing
129,Patient_1,147,0,Standing
130,Patient_1,149,0,Standing
131,Patient_1,150,0,Standing
132,Patient_1,151,0,Standing
133,Patient_1,152,0,Standing
134,Patient_1,153,0,Standing
135,Patient_1,154,0,Standing
136,Patient_1,155,0,Standing
137,Patient_1,156,0,Standing
138,Patient_1,157,0,Standing
139,Patient_1,158,0,Standing
140,Patient_1,160,0,Standing
141,Patient_1,161,0,Standing
142,Patient_1,162,0,Standing
143,Patient_1,163,0,Standing
144,Patient_1,164,0,Standing
145,Patient_1,165,0,Standing
146,Patient_1,166,0,Standing
147,Patient_1,167,0,Standing
148,Patient_1,168,0,Standing
149,Patient_1,169,0,Standing
150,Patient_1,171,0,Standing
151,Patient_1,172,0,Standing
152,Patient_1,173,0,Standing
153,Patient_1,174,0,Standing
154,Patient_1,175,0,Standing
155,Patient_1,176,0,Standing
156,Patient_1,177,0,Standing
157,Patient_1,178,0,Standing
158,Patient_1,179,0,Standing
159,Patient_1,180,0,Standing
160,Patient_1,182,0,Standing
161,Patient_1,183,0,Standing
162,Patient_1,184,0,Standing
163,Patient_1,185,0,Standing
164,Patient_1,186,0,Standing
165,Patient_1,187,0,Standing
166,Patient_1,188,0,Standing
167,Patient_1,189,0,Standing
168,Patient_1,190,0,Standing
169,Patient_1,191,0,Standing
170,Patient_1,193,0,Standing
171,Patient_1,194,0,Standing
172,Patient_1,195,0,Standing
173,Patient_1,196,0,Standing
174,Patient_1,197,0,Standing
175,Patient_1,198,0,Standing
176,Patient_1,199,0,Standing
177,Patient_1,200,0,Standing
178,Patient_1,201,0,Standing
179,Patient_1,202,0,Standing
180,Patient_1,204,0,Standing
181,Patient_1,205,0,Standing
182,Patient_1,206,0,Standing
183,Patient_1,207,0,Standing
184,Patient_1,208,0,Standing
185,Patient_1,209,0,Standing
186,Patient_1,210,0,Standing
187,Patient_1,211,0,Standing
188,Patient_1,212,0,Standing
189,Patient_1,213,0,Standing
190,Patient_1,215,0,Standing
191,Patient_1,216,0,Standing
192,Patient_1,217,0,Standing
193,Patient_1,218,0,Standing
194,Patient_1,219,0,Standing
195,Patient_1,220,0,Standing
196,Patient_1,221,0,Standing
197,Patient_1,222,0,Standing
198,Patient_1,223,0,Standing
199,Patient_1,224,0,Standing
200,Patient_1,227,0,Standing
201,Patient_1,228,0,Standing
202,Patient_1,229,0,Standing
203,Patient_1,230,0,Standing
204,Patient_1,231,0,Standing
205,Patient_1,232,0,Standing
206,Patient_1,233,0,Standing
207,Patient_1,555,0,Standing
208,Patient_1,556,0,Standing
209,Patient_1,557,0,Standing
210,Patient_1,560,0,Standing
211,Patient_1,561,0,Standing
212,Patient_1,562,0,Standing
213,Patient_1,563,0,Standing
214,Patient_1,564,0,Standing
215,Patient_1,565,0,Standing
216,Patient_1,566,0,Standing
217,Patient_1,567,0,Standing
218,Patient_1,568,0,Standing
219,Patient_1,569,0,Standing
220,Patient_1,571,0,Standing
221,Patient_1,572,0,Standing
222,Patient_1,573,0,Standing
223,Patient_1,574,0,Standing
224,Patient_1,575,0,Standing
225,Patient_1,576,0,Standing
226,Patient_1,577,0,Standing
227,Patient_1,578,0,Standing
228,Patient_1,579,0,Standing
229,Patient_1,580,0,Standing
230,Patient_1,582,0,Standing
231,Patient_1,583,0,Standing
232,Patient_1,584,0,Standing
233,Patient_1,585,0,Standing
234,Patient_1,586,0,Standing
235,Patient_1,587,0,Standing
236,Patient_1,588,0,Standing
237,Patient_1,589,0,Standing
238,Patient_1,590,0,Standing
239,Patient_1,591,0,Standing
240,Patient_1,593,0,Standing
241,Patient_1,594,0,Standing
242,Patient_1,595,0,Standing
243,Patient_1,596,0,Standing
244,Patient_1,597,0,Standing
245,Patient_1,598,0,Standing
246,Patient_1,599,0,Standing
247,Patient_1,600,0,Standing
248,Patient_1,601,0,Standing
249,Patient_1,602,0,Standing
250,Patient_1,604,0,Standing
251,Patient_1,605,0,Standing
252,Patient_1,606,0,Standing
253,Patient_1,607,0,Standing
254,Patient_1,608,0,Standing
255,Patient_1,609,0,Standing
256,Patient_1,610,0,Standing
257,Patient_1,611,0,Standing
258,Patient_1,612,0,Standing
259,Patient_1,613,0,Standing
260,Patient_1,615,0,Standing
261,Patient_1,616,0,Standing
262,Patient_1,617,0,Standing
263,Patient_1,618,0,Standing
264,Patient_1,619,0,Standing
265,Patient_1,620,0,Standing
266,Patient_1,621,0,Standing
267,Patient_1,622,0,Standing
268,Patient_1,623,0,Standing
269,Patient_1,624,0,Standing
270,Patient_1,626,0,Standing
271,Patient_1,627,0,Standing
272,Patient_1,628,0,Standing
273,Patient_1,629,0,Standing
274,Patient_1,630,0,Standing
275,Patient_1,631,0,Standing
276,Patient_1,632,0,Standing
277,Patient_1,633,0,Standing
278,Patient_1,634,0,Standing
279,Patient_1,635,0,Standing
280,Patient_1,637,0,Standing
281,Patient_1,638,0,Standing
282,Patient_1,639,0,Standing
283,Patient_1,640,0,Standing
284,Patient_1,641,0,Standing
285,Patient_1,642,0,Standing
286,Patient_1,643,0,Standing
287,Patient_1,644,0,Standing
288,Patient_1,645,0,Standing
289,Patient_1,646,0,Standing
290,Patient_1,648,0,Standing
291,Patient_1,649,0,Standing
292,Patient_1,650,0,Standing
293,Patient_1,651,0,Standing
294,Patient_1,652,0,Standing
295,Patient_1,653,0,Standing
296,Patient_1,654,0,Standing
297,Patient_1,655,0,Standing
298,Patient_1,656,0,Standing
299,Patient_1,657,0,Standing
300,Patient_1,659,0,Standing
301,Patient_1,660,0,Standing
302,Patient_1,661,0,Standing
303,Patient_1,662,0,Standing
304,Patient_1,663,0,Standing
305,Patient_1,664,0,Standing
306,Patient_1,665,0,Standing
307,Patient_1,666,0,Standing
308,Patient_1,667,0,Standing
309,Patient_1,668,0,Standing
310,Patient_1,671,0,Standing
311,Patient_1,672,0,Standing
312,Patient_1,673,0,Standing
313,Patient_1,674,0,Standing
314,Patient_1,675,0,Standing
315,Patient_1,676,0,Standing
316,Patient_1,677,0,Standing
317,Patient_1,678,0,Standing
318,Patient_1,679,0,Standing
319,Patient_1,680,0,Standing
320,Patient_1,682,0,Standing
321,Patient_1,683,0,Standing
322,Patient_1,684,0,Standing
323,Patient_1,685,0,Standing
324,Patient_1,686,0,Standing
325,Patient_1,687,0,Standing
326,Patient_1,688,0,Standing
327,Patient_1,689,0,Standing
328,Patient_1,690,0,Standing
329,Patient_1,691,0,Standing
330,Patient_1,693,0,Standing
331,Patient_1,694,0,Standing
332,Patient_1,695,0,Standing
333,Patient_1,696,0,Standing
334,Patient_1,697,0,Standing
335,Patient_1,698,0,Standing
336,Patient_1,699,0,Standing
337,Patient_1,700,0,Standing
338,Patient_1,701,0,Standing
339,Patient_1,702,0,Standing
340,Patient_1,704,0,Standing
341,Patient_1,705,0,Standing
342,Patient_1,706,0,Standing
343,Patient_1,707,0,Standing
344,Patient_1,708,0,Standing
345,Patient_1,709,0,Standing
346,Patient_1,710,0,Standing
347,Patient_1,711,0,Standing
348,Patient_1,712,0,Standing
349,Patient_1,713,0,Standing
350,Patient_1,715,0,Standing
351,Patient_1,716,0,Standing
352,Patient_1,717,0,Standing
353,Patient_1,718,0,Standing
354,Patient_1,719,0,Standing
355,Patient_1,720,0,Standing
356,Patient_1,721,0,Standing
357,Patient_1,722,0,Standing
358,Patient_1,723,0,Standing
359,Patient_1,724,0,Standing
360,Patient_1,726,0,Standing
361,Patient_1,727,0,Standing
362,Patient_1,728,0,Standing
363,Patient_1,729,0,Standing
364,Patient_1,730,0,Standing
365,Patient_1,731,0,Standing
366,Patient_1,732,0,Standing
367,Patient_1,733,0,Standing
368,Patient_1,734,0,Standing
369,Patient_1,735,0,Standing
370,Patient_1,737,0,Standing
371,Patient_1,738,0,Standing
372,Patient_1,739,0,Standing
373,Patient_1,740,0,Standing
374,Patient_1,741,0,Standing
375,Patient_1,742,0,Standing
376,Patient_1,743,0,Standing
377,Patient_1,744,0,Standing
378,Patient_1,745,0,Standing
379,Patient_1,746,0,Standing
380,Patient_1,748,0,Standing
381,Patient_1,749,0,Standing
382,Patient_1,750,0,Standing
383,Patient_1,751,0,Standing
384,Patient_1,752,0,Standing
385,Patient_1,753,0,Standing
386,Patient_1,754,0,Standing
387,Patient_1,755,0,Standing
388,Patient_1,756,0,Standing
389,Patient_1,757,0,Standing
390,Patient_1,759,0,Standing
391,Patient_1,760,0,Standing
392,Patient_1,761,0,Standing
393,Patient_1,762,0,Standing
394,Patient_1,763,0,Standing
395,Patient_1,764,0,Standing
396,Patient_1,765,0,Standing
397,Patient_1,766,0,Standing
398,Patient_1,767,0,Standing
399,Patient_1,768,0,Standing
400,Patient_1,770,0,Standing
401,Patient_1,771,0,Standing
402,Patient_1,772,0,Standing
403,Patient_1,773,0,Standing
404,Patient_1,774,0,Standing
405,Patient_1,775,0,Standing
406,Patient_1,796,0,Standing
407,Patient_1,797,0,Standing
408,Patient_1,798,0,Standing
409,Patient_1,799,0,Standing
410,Patient_1,800,0,Standing
411,Patient_1,801,0,Standing
412,Patient_1,802,0,Standing
413,Patient_1,804,0,Standing
414,Patient_1,805,0,Standing
415,Patient_1,806,0,Standing
416,Patient_1,807,0,Standing
417,Patient_1,808,0,Standing
418,Patient_1,809,0,Standing
419,Patient_1,810,0,Standing
420,Patient_1,811,0,Standing
421,Patient_1,812,0,Standing
422,Patient_1,813,0,Standing
423,Patient_1,815,0,Standing
424,Patient_1,816,0,Standing
425,Patient_1,817,0,Standing
426,Patient_1,818,0,Standing
427,Patient_1,819,0,Standing
428,Patient_1,820,0,Standing
429,Patient_1,821,0,Standing
430,Patient_1,822,0,Standing
431,Patient_1,823,0,Standing
432,Patient_1,824,0,Standing
433,Patient_1,826,0,Standing
434,Patient_1,827,0,Standing
435,Patient_1,828,0,Standing
436,Patient_1,829,0,Standing
437,Patient_1,830,0,Standing
438,Patient_1,831,0,Standing
439,Patient_1,832,0,Standing
440,Patient_1,833,0,Standing
441,Patient_1,834,0,Standing
442,Patient_1,835,0,Standing
443,Patient_1,837,0,Standing
444,Patient_1,838,0,Standing
445,Patient_1,839,0,Standing
446,Patient_1,840,0,Standing
447,Patient_1,841,0,Standing
448,Patient_1,842,0,Standing
449,Patient_1,843,0,Standing
450,Patient_1,844,0,Standing
451,Patient_1,845,0,Standing
452,Patient_1,846,0,Standing
453,Patient_1,848,0,Standing
454,Patient_1,849,0,Standing
455,Patient_1,850,0,Standing
456,Patient_1,851,0,Standing
457,Patient_1,852,0,Standing
458,Patient_1,853,0,Standing
459,Patient_1,854,0,Standing
460,Patient_1,855,0,Standing
461,Patient_1,856,0,Standing
462,Patient_1,857,0,Standing
463,Patient_1,859,0,Standing
464,Patient_1,860,0,Standing
465,Patient_1,861,0,Standing
466,Patient_1,862,0,Standing
467,Patient_1,863,0,Standing
468,Patient_1,864,0,Standing
469,Patient_1,865,0,Standing
470,Patient_1,866,0,Standing
471,Patient_1,867,0,Standing
472,Patient_1,868,0,Standing
473,Patient_1,870,0,Standing
474,Patient_1,871,0,Standing
475,Patient_1,872,0,Standing
476,Patient_1,873,0,Standing
477,Patient_1,874,0,Standing
478,Patient_1,875,0,Standing
479,Patient_1,876,0,Standing
480,Patient_1,877,0,Standing
481,Patient_1,878,0,Standing
482,Patient_1,879,0,Standing
483,Patient_1,881,0,Standing
484,Patient_1,882,0,Standing
485,Patient_1,883,0,Standing
486,Patient_1,884,0,Standing
487,Patient_1,885,0,Standing
488,Patient_1,886,0,Standing
489,Patient_1,887,0,Standing
490,Patient_1,888,0,Standing
491,Patient_1,889,0,Standing
492,Patient_1,890,0,Standing
493,Patient_1,893,0,Standing
494,Patient_1,894,0,Standing
495,Patient_1,895,0,Standing
496,Patient_1,896,0,Standing
497,Patient_1,897,0,Standing
498,Patient_1,898,0,Standing
499,Patient_1,899,0,Standing
500,Patient_1,900,0,Standing
501,Patient_1,901,0,Standing
502,Patient_1,902,0,Standing
503,Patient_1,904,0,Standing
504,Patient_1,905,0,Standing
505,Patient_1,906,0,Standing
506,Patient_1,907,0,Standing
507,Patient_1,908,0,Standing
508,Patient_1,909,0,Standing
509,Patient_1,910,0,Standing
510,Patient_1,911,0,Standing
511,Patient_1,912,0,Standing
512,Patient_1,913,0,Standing
513,Patient_1,915,0,Standing
514,Patient_1,916,0,Standing
515,Patient_1,917,0,Standing
516,Patient_1,918,0,Standing
517,Patient_1,919,0,Standing
518,Patient_1,920,0,Standing
519,Patient_1,921,0,Standing
520,Patient_1,922,0,Standing
521,Patient_1,923,0,Standing
522,Patient_1,924,0,Standing
523,Patient_1,926,0,Standing
524,Patient_1,927,0,Standing
525,Patient_1,928,0,Standing
526,Patient_1,929,0,Standing
527,Patient_1,930,0,Standing
528,Patient_1,931,0,Standing
529,Patient_1,932,0,Standing
530,Patient_1,933,0,Standing
531,Patient_1,934,0,Standing
532,Patient_1,935,0,Standing
533,Patient_1,937,0,Standing
534,Patient_1,938,0,Standing
535,Patient_1,939,0,Standing
536,Patient_1,940,0,Standing
537,Patient_1,941,0,Standing
538,Patient_1,942,0,Standing
539,Patient_1,943,0,Standing
540,Patient_1,944,0,Standing
541,Patient_1,945,0,Standing
542,Patient_1,946,0,Standing
543,Patient_1,951,0,Standing
544,Patient_1,952,0,Standing
545,Patient_1,953,0,Standing
546,Patient_1,960,0,Standing
547,Patient_1,961,0,Standing
548,Patient_1,962,0,Standing
549,Patient_1,965,0,Standing
550,Patient_1,966,0,Standing
551,Patient_1,967,0,Standing
552,Patient_1,968,0,Standing
553,Patient_1,970,0,Standing
554,Patient_1,971,0,Standing
555,Patient_1,972,0,Standing
556,Patient_1,973,0,Standing
557,Patient_1,974,0,Standing
558,Patient_1,975,0,Standing
559,Patient_1,976,0,Standing
560,Patient_1,977,0,Standing
561,Patient_1,978,0,Standing
562,Patient_1,979,0,Standing
563,Patient_1,981,0,Standing
564,Patient_1,982,0,Standing
565,Patient_1,983,0,Standing
566,Patient_1,984,0,Standing
567,Patient_1,985,0,Standing
568,Patient_1,986,0,Standing
569,Patient_1,987,0,Standing
570,Patient_1,988,0,Standing
571,Patient_1,989,0,Standing
572,Patient_1,995,0,Standing
573,Patient_1,996,0,Standing
574,Patient_1,997,0,Standing
575,Patient_1,998,0,Standing
576,Patient_1,999,0,Standing
577,Patient_1,1000,0,Standing
578,Patient_1,1001,0,Standing
579,Patient_1,1004,0,Standing
580,Patient_1,1005,0,Standing
581,Patient_1,1006,0,Standing
582,Patient_1,1007,0,Standing
583,Patient_1,1008,0,Standing
584,Patient_1,1009,0,Standing
585,Patient_1,1010,0,Standing
586,Patient_1,1011,0,Standing
587,Patient_1,1012,0,Standing
588,Patient_1,1015,0,Standing
589,Patient_1,1016,0,Standing
590,Patient_1,1017,0,Standing
591,Patient_1,1018,0,Standing
592,Patient_1,1019,0,Standing
593,Patient_1,1020,0,Standing
594,Patient_1,1022,0,Standing
595,Patient_1,1024,0,Standing
596,Patient_1,1026,0,Standing
597,Patient_1,1027,0,Standing
598,Patient_1,1028,0,Standing
599,Patient_1,1029,0,Standing
600,Patient_1,1030,0,Standing
601,Patient_1,1031,0,Standing
602,Patient_1,1032,0,Standing
603,Patient_1,1033,0,Standing
604,Patient_1,1034,0,Standing
605,Patient_1,1035,0,Standing
606,Patient_1,1037,0,Standing
607,Patient_1,1038,0,Standing
608,Patient_1,1039,0,Standing
609,Patient_1,1040,0,Standing
610,Patient_1,1041,0,Standing
611,Patient_1,1042,0,Standing
612,Patient_1,1043,0,Standing
613,Patient_1,1044,0,Standing
614,Patient_1,1045,0,Standing
615,Patient_1,1046,0,Standing
616,Patient_1,1048,0,Standing
617,Patient_1,1049,0,Standing
618,Patient_1,1050,0,Standing
619,Patient_1,1051,0,Standing
620,Patient_1,1052,0,Standing
621,Patient_1,1053,0,Standing
622,Patient_1,1054,0,Standing
623,Patient_1,1055,0,Standing
624,Patient_1,1056,0,Standing
625,Patient_1,1057,0,Standing
626,Patient_1,1059,0,Standing
627,Patient_1,1060,0,Standing
628,Patient_1,1061,0,Standing
629,Patient_1,1062,0,Standing
630,Patient_1,1063,0,Standing
631,Patient_1,1064,0,Standing
632,Patient_1,1065,0,Standing
633,Patient_1,1066,0,Standing
634,Patient_1,1067,0,Standing
635,Patient_1,1068,0,Standing
636,Patient_1,1070,0,Standing
637,Patient_1,1071,0,Standing
638,Patient_1,1072,0,Standing
639,Patient_1,1073,0,Standing
640,Patient_1,1074,0,Standing
641,Patient_1,1075,0,Standing
642,Patient_1,1076,0,Standing
643,Patient_1,1077,0,Standing
644,Patient_1,1078,0,Standing
645,Patient_1,1079,0,Standing
646,Patient_1,1081,0,Standing
647,Patient_1,1082,0,Standing
648,Patient_1,1083,0,Standing
649,Patient_1,1084,0,Standing
650,Patient_1,1085,0,Standing
651,Patient_1,1086,0,Standing
652,Patient_1,1087,0,Standing
653,Patient_1,1088,0,Standing
654,Patient_1,1089,0,Standing
655,Patient_1,1090,0,Standing
656,Patient_1,1092,0,Standing
657,Patient_1,1093,0,Standing
658,Patient_1,1094,0,Standing
659,Patient_1,1095,0,Standing
660,Patient_1,1096,0,Standing
661,Patient_1,1097,0,Standing
662,Patient_1,1098,0,Standing
663,Patient_1,1099,0,Standing
664,Patient_1,1100,0,Standing
665,Patient_1,1101,0,Standing
666,Patient_1,1103,0,Standing
667,Patient_1,1104,0,Standing
668,Patient_1,1105,0,Standing
669,Patient_1,1106,0,Standing
670,Patient_1,1107,0,Standing
671,Patient_1,1108,0,Standing
672,Patient_1,1109,0,Standing
673,Patient_1,1110,0,Standing
674,Patient_1,1111,0,Standing
675,Patient_1,1112,0,Standing
676,Patient_1,1116,0,Standing
677,Patient_1,1117,0,Standing
678,Patient_1,1118,0,Standing
679,Patient_1,1119,0,Standing
680,Patient_1,1120,0,Standing
681,Patient_1,1121,0,Standing
682,Patient_1,1122,0,Standing
683,Patient_1,1123,0,Standing
684,Patient_1,1124,0,Standing
685,Patient_1,1125,0,Standing
686,Patient_1,1127,0,Standing
687,Patient_1,1128,0,Standing
688,Patient_1,1129,0,Standing
689,Patient_1,1130,0,Standing
690,Patient_1,1131,0,Standing
691,Patient_1,1132,0,Standing
692,Patient_1,1133,0,Standing
693,Patient_1,1134,0,Standing
694,Patient_1,1135,0,Standing
695,Patient_1,1136,0,Standing
696,Patient_1,1138,0,Standing
697,Patient_1,1139,0,Standing
698,Patient_1,1140,0,Standing
699,Patient_1,1141,0,Standing
700,Patient_1,1142,0,Standing
701,Patient_1,1143,0,Standing
702,Patient_1,1144,0,Standing
703,Patient_1,1145,0,Standing
704,Patient_1,1146,0,Standing
705,Patient_1,1147,0,Standing
706,Patient_1,1149,0,Standing
707,Patient_1,1150,0,Standing
708,Patient_1,1151,0,Standing
709,Patient_1,1152,0,Standing
710,Patient_1,1153,0,Standing
711,Patient_1,1154,0,Standing
712,Patient_1,1155,0,Standing
713,Patient_1,1156,0,Standing
714,Patient_1,1157,0,Standing
715,Patient_1,1158,0,Standing
716,Patient_1,1160,0,Standing
717,Patient_1,1161,0,Standing
718,Patient_1,1162,0,Standing
719,Patient_1,1163,0,Standing
720,Patient_1,1164,0,Standing
721,Patient_1,1165,0,Standing
722,Patient_1,1166,0,Standing
723,Patient_1,1167,0,Standing
724,Patient_1,1168,0,Standing
725,Patient_1,1169,0,Standing
726,Patient_1,1171,0,Standing
727,Patient_1,1172,0,Standing
728,Patient_1,1173,0,Standing
729,Patient_1,1174,0,Standing
730,Patient_1,1175,0,Standing
731,Patient_1,1176,0,Standing
732,Patient_1,1177,0,Standing
733,Patient_1,1178,0,Standing
734,Patient_1,1233,0,Standing
735,Patient_1,1234,0,Standing
736,Patient_1,1235,0,Standing
737,Patient_1,1236,0,Standing
738,Patient_1,1238,0,Standing
739,Patient_1,1239,0,Standing
740,Patient_1,1240,0,Standing
741,Patient_1,1241,0,Standing
742,Patient_1,1242,0,Standing
743,Patient_1,1243,0,Standing
744,Patient_1,1244,0,Standing
745,Patient_1,1245,0,Standing
746,Patient_1,1246,0,Standing
747,Patient_1,1247,0,Standing
748,Patient_1,1249,0,Standing
749,Patient_1,1250,0,Standing
750,Patient_1,1251,0,Standing
751,Patient_1,1252,0,Standing
752,Patient_1,1253,0,Standing
753,Patient_1,1254,0,Standing
754,Patient_1,1255,0,Standing
755,Patient_1,1256,0,Standing
756,Patient_1,1257,0,Standing
757,Patient_1,1258,0,Standing
758,Patient_1,1260,0,Standing
759,Patient_1,1261,0,Standing
760,Patient_1,1262,0,Standing
761,Patient_1,1263,0,Standing
762,Patient_1,1264,0,Standing
763,Patient_1,1265,0,Standing
764,Patient_1,1266,0,Standing
765,Patient_1,1267,0,Standing
766,Patient_1,1268,0,Standing
767,Patient_1,1269,0,Standing
768,Patient_1,1271,0,Standing
769,Patient_1,1272,0,Standing
770,Patient_1,1273,0,Standing
771,Patient_1,1274,0,Standing
772,Patient_1,1275,0,Standing
773,Patient_1,1276,0,Standing
774,Patient_1,1277,0,Standing
775,Patient_1,1278,0,Standing
776,Patient_1,1279,0,Standing
777,Patient_1,1280,0,Standing
778,Patient_1,1282,0,Standing
779,Patient_1,1283,0,Standing
780,Patient_1,1284,0,Standing
781,Patient_1,1285,0,Standing
782,Patient_1,1286,0,Standing
783,Patient_1,1287,0,Standing
784,Patient_1,1288,0,Standing
785,Patient_1,1289,0,Standing
786,Patient_1,1290,0,Standing
787,Patient_1,1291,0,Standing
788,Patient_1,1293,0,Standing
789,Patient_1,1294,0,Standing
790,Patient_1,1295,0,Standing
791,Patient_1,1296,0,Standing
792,Patient_1,1297,0,Standing
793,Patient_1,1298,0,Standing
794,Patient_1,1299,0,Standing
795,Patient_1,1300,0,Standing
796,Patient_1,1301,0,Standing
797,Patient_1,1302,0,Standing
798,Patient_1,1304,0,Standing
799,Patient_1,1305,0,Standing
800,Patient_1,1306,0,Standing
801,Patient_1,1307,0,Standing
802,Patient_1,1308,0,Standing
803,Patient_1,1309,0,Standing
804,Patient_1,1310,0,Standing
805,Patient_1,1311,0,Standing
806,Patient_1,1312,0,Standing
807,Patient_1,1313,0,Standing
808,Patient_1,1315,0,Standing
809,Patient_1,1316,0,Standing
810,Patient_1,1317,0,Standing
811,Patient_1,1330,0,Standing
812,Patient_1,1331,0,Standing
813,Patient_1,1332,0,Standing
814,Patient_1,1333,0,Standing
815,Patient_1,1334,0,Standing
816,Patient_1,1335,0,Standing
817,Patient_1,1338,0,Standing
818,Patient_1,1339,0,Standing
819,Patient_1,1340,0,Standing
820,Patient_1,1341,0,Standing
821,Patient_1,1342,0,Standing
822,Patient_1,1343,0,Standing
823,Patient_1,1344,0,Standing
824,Patient_1,1345,0,Standing
825,Patient_1,1346,0,Standing
826,Patient_1,1347,0,Standing
827,Patient_1,1349,0,Standing
828,Patient_1,1350,0,Standing
829,Patient_1,1351,0,Standing
830,Patient_1,1352,0,Standing
831,Patient_1,1353,0,Standing
832,Patient_1,1354,0,Standing
833,Patient_1,1355,0,Standing
834,Patient_1,1356,0,Standing
835,Patient_1,1357,0,Standing
836,Patient_1,1358,0,Standing
837,Patient_1,1360,0,Standing
838,Patient_1,1361,0,Standing
839,Patient_1,1362,0,Standing
840,Patient_1,1363,0,Standing
841,Patient_1,1364,0,Standing
842,Patient_1,1365,0,Standing
843,Patient_1,1366,0,Standing
844,Patient_1,1367,0,Standing
845,Patient_1,1368,0,Standing
846,Patient_1,1369,0,Standing
847,Patient_1,1371,0,Standing
848,Patient_1,1372,0,Standing
849,Patient_1,1373,0,Standing
850,Patient_1,1374,0,Standing
851,Patient_1,1375,0,Standing
852,Patient_1,1376,0,Standing
853,Patient_1,1377,0,Standing
854,Patient_1,1378,0,Standing
